object_1,object_2,similarity,connection
дорожная обстановка,состояние областных дорог,0.8833961,
участие в концерте киркорова,выступление артиста и его подтанцовка,0.88337106,
чистка снега в екатеринбурге,уборка снега грейдером,0.8833542,
дорожная обстановка в челябинской области,качество дорог в челябинской области,0.88334733,
взяточничество - действия власти,коррупция и растраты бюджетных средств,0.8833059,
мероприятие у церкви,участие в церковных мероприятиях,0.8832927,
запуск беспилотников,методы противодействия дронам,0.8832731,
кинопремьера одесия,рекорд кассовых сборов фильма «чебурашка 2»,0.8832712,
филипп киркоров,кража ёлки,0.883265,
дтп на тюбинге,подсвечник/антиквариат,0.8832583,
применение законов о тонировке,новые правила по тонировке,0.8832535,
история игрушек,ретро игрушки,0.8832346,
система управления мусором,уборка мусора,0.88322556,
объявление опасности,источник информации об опасности,0.883213,
состояние дорог в таганроге,состояние дорог в семсовхозе,0.8832041,
зацеперы,дтп под джубгой,0.8831849,
джефф миллз,кассовые сборы фильма «чебурашка 2»,0.8831828,
ракетная опасность,ракетная опасность пкр нептун,0.88316387,
городской бор - дорога,состояние тротуаров,0.8831332,
взрывы беспилотников,источник беспилотников,0.88312733,
анекдот времён ссср,перевод говнотечки,0.88312256,
жильцы ниже горящей квартиры,горящая квартира,0.8830816,
фиксация беспилотных летательных аппаратов,способ уничтожения беспилотников,0.8830636,
авария на трассе,трагедия на дорогах,0.88306,
доставка,поставка товаров через пвз,0.88300914,
проблемы в венесуэле,действия сша в венесуэле,0.8829983,
реклама в канале,рекламная акция,0.8829956,
первая часть фильма чебурашка,отечественное кино,0.88297826,
опыт автора,деятельность автора,0.88296515,
повышение цен на жку,причины повышения цен,0.882944,
качество обслуживания билайн,качество услуг билайна,0.88290846,
закрытие парков раньше времени,закрытие парка до официального времени,0.8828724,
задержка поездов и компенсация за билеты,задержки пассажирских поездов,0.882867,
отключение электричества в общагах юфу,отключение электроэнергии в зазулине,0.8828479,
поведение хаски в контактном зоопарке,контактный зоопарк специализация на хаски,0.88278013,
цены в ленте и магните,цены на товары,0.8827536,
работа полиции,поведение сотрудников полиции (pls),0.8827523,
действия минобороны по уничтожению бпла,информация минобороны о сбитых бпла,0.88274455,
концерт поп-короля,жк вест-сайд,0.8827206,
дтп на трассе семикаракорск-волгодонск,спектакли московского театра,0.8827044,
проблемы коммунальных служб,ухудшение работы коммунальных служб,0.88270175,
объявление о ракетной опасности,реакция на ракетную опасность,0.88267505,
рождественские богослужения,празднование рождества православными церквями,0.8826553,
уничтожение беспилотников пво,действия в рб связанные с беспилотниками,0.8826502,
проблемы с общественным транспортом,работа общественного транспорта,0.882637,
дорожная обстановка,пробка,0.8826156,
уборка мусора в екатеринбурге,уборка мусора,0.8826131,
опасность из-за атаки беспилотников,способ уничтожения беспилотников,0.8826016,
способ уничтожения беспилотников,эффективность пво против дронов,0.8825932,
ситуация в городе,внимание властей к городу,0.8825846,
состояние льда,использование реагентов на ледовом городке,0.88256097,
военные действия,поведение военных,0.88252544,
рекорд кассовых сборов фильма «чебурашка 2»,концерт группы «индиид»,0.88247913,
рождество в храмах,рождественские богослужения,0.8824785,
железнодорожные задержки,задержка поездов и питание пассажиров,0.8824688,
новая модель рождаемости,данные о рождаемости,0.88244915,
безопасность территории городка,безопасность общественных мест,0.88243496,
мероприятие филиппа киркорова,дороги осипенко/репин,0.88243246,
полет беспилотников,действия в рб связанные с беспилотниками,0.8824314,
празднование рождества,празднование рождества христова,0.88242847,
деятельность зацеперов по сбору мусора,ситуация с вывозом мусора,0.8824183,
качество российских фильмов,качество фильма/сериала,0.88241285,
электроснабжение жк вест-сайд,дтп на трассе семикаракорск-волгодонск,0.8824056,
дтп на трассе семикаракорск-волгодонск,первая часть фильма чебурашка,0.8823958,
подготовка к свадьбе,проведение свадебных торжеств,0.882392,
поведение деда мороза,образ деда мороза и репертуар,0.8823917,
введение штрафов за тонировку,размер штрафа за нарушение тонировки,0.882369,
лучшие времена рф,магазины-пятёрочка,0.8823632,
состояние дорог во вoenном городке,состояние дорог и тротуаров,0.8823303,
дроновое нападение,уничтожение беспилотников пво,0.88232124,
дороги осипенко/репин,характеристика глав субъектов рф,0.8822871,
концерт ленинграда,рекорд кассовых сборов фильма «чебурашка 2»,0.88228345,
работа по вывозу мусора,накопление мусора,0.8822832,
запрет горок,зацеперы,0.88227797,
москва - лицо страны,москва как место проживания,0.8822473,
выбор фильмов из подборки,список фильмов,0.88221264,
фиксация беспилотных летательных аппаратов,действия сша по запуску дронов,0.882193,
работа по вывозу мусора,вывоз мусора на грэс,0.88216853,
концерт ленинграда,дорога ростов-семикаракорск-волгодонск,0.8821593,
решение проблемы вывоза мусора,уборка мусора,0.8821541,
поведение водителя «нивы»,поведение водителя такси,0.8821534,
фирма по вывозу мусора,ситуация с вывозом мусора,0.8821504,
рождественская литургия,канун рождества христова,0.8821325,
содержание фотографии,фото в личку,0.8820814,
беспилотники,сбитые беспилотники над башкирией,0.8820786,
электроснабжение жк вест-сайд,дороги осипенко/репин,0.8820736,
поведение украинских сил,действия сторонников украины,0.88205755,
кража новогодней ёлки,рождество в краснодаре,0.8820353,
поведение водителей на дороге,поведение владельцев автомобилей,0.8820037,
внешность трампа,поведение дональда трампа,0.88195175,
поведение верующих во время службы,участие в богослужении,0.8819401,
погибшие в дтп,смертельный исход дтп,0.8819368,
ситуация с уборкой мусора,организация вывоза мусора,0.8818931,
объявление опасности мчс,оповещение мчс,0.8818904,
концерт поп-короля,рекорд кассовых сборов фильма «чебурашка 2»,0.8818625,
транспорт в ростове,транспортная инфраструктура краснодара,0.8818579,
отношение к крестному ходу,участие в крестном ходе,0.88184977,
проблема вывоза мусора,вывоз мусора / подрядчик,0.8818479,
вывоз мусора,система управления мусором,0.8818332,
поведение бородача,поведение всу,0.8818174,
рекорд кассовых сборов фильма «чебурашка 2»,премьеры в кино,0.8818125,
поворот налево из среднего ряда,использование левой полосы,0.8818097,
работа жкх,работа пвз,0.88179886,
условия на дорогах,загораживание проездов,0.881766,
состояние дорог в семсовхозе,дорожная ситуация,0.881755,
действия муниципалитета,поведение местного самоуправления,0.8817493,
фильм хроники нарнии,лучшие времена рф,0.8817237,
место события в краснодаре,красноармейская улица как место события,0.88171715,
отключение электричества в общагах,отключение электроэнергии в апшеронском районе,0.8816924,
распространение мусора,производство мусора людьми,0.88168937,
угроза беспилотной опасности,защита от беспилотной атаки,0.881689,
жанр шансон,дороги осипенко/репин,0.8816613,
беспилотная опасность - взрывы,теракты и беспилотники,0.88165796,
метод сбора мусора,вывоз мусора в гэсе,0.8816459,
воспитательный стиль родителей,подход к воспитанию детей,0.8816063,
беспилотные летательные аппараты (бпла) со стороны украины,силы беспилотных систем украины,0.88160527,
джефф миллз,задержка поезда москва-адлер,0.8815964,
участие в концерте киркорова,концерт группы «индиид»,0.8815906,
миньетчицы,ковалевка,0.8815879,
выступление киркорова и пугачевой,песня/стихотворение о бродяге,0.8815867,
наплыв туристов в сочи,наплыв туристов в сочи зимой,0.8815549,
движение по полосам,движение в среднем ряду,0.8815534,
качество установки шумозащитных конструкций,шумозащитные конструкции некачественные,0.8815477,
дорожно-транспортное происшествие,место аварии,0.8815408,
действия силовиков,поведение военных,0.88148224,
частые перебои с электричеством,наличие электричества,0.8814764,
стоимость билетов,цены на билеты в каро8/галерея,0.8814648,
состояние тротуаров,состояние дорог в сипайлово,0.88143426,
ракетная опасность,ракетная атака - провокация,0.88141537,
православный праздник сочельник,празднование рождества православными церквями,0.88140273,
строительство развязки,строительство временной развязки,0.8813897,
вывоз мусора,организация сбора мусора,0.88138103,
работа в магазине,действия сотрудников магазинов,0.8813628,
способ уборки мусора,деятельность зацеперов по сбору мусора,0.8813608,
организация сбора мусора,уборка мусора в районе,0.8813372,
отключение электроэнергии в апшеронском районе,отсутствие электричества на улице тургенева,0.88126975,
смертельное дтп на дороге,смертельное дтп,0.8812673,
рождественские традиции/колядование,празднование рождества христова,0.88123983,
информация мчс о мерах безопасности,обеспечение безопасности,0.881218,
колхозное водительское мнение,водители и автомобили,0.88121676,
прикорм у детей,"питание детей в 1,5 года",0.8812033,
состояние трассы ростов-волгодонск,рекорд кассовых сборов фильма «чебурашка 2»,0.8811637,
качество дорог в челябинской области,состояние дорог в семсовхозе,0.8811577,
действия нападавшего,ситуация с нападением,0.88115144,
рождество в краснодаре,рождественские богослужения,0.88114953,
место происшествия,факты происшествия,0.8811298,
деятельность зацеперов по сбору мусора,поведение мусоров,0.88107014,
гринсайд,ковалевка,0.88105583,
поведение властей,поведение администрации сочи,0.8810345,
укладка асфальта,укладка асфальта на парковке,0.88103324,
участие в концерте киркорова,сцена на концерте,0.8810323,
отключение электроэнергии,ситуация с отключением света,0.8810147,
зацеперы сбор мусора,презик рядом с мусоркой,0.8809967,
деятельность зацеперов по сбору мусора,вывоз мусора в городе,0.8809762,
эксплуатация аттракционов,перевод говнотечки,0.8809489,
выдача штрафа,штраф или лишение прав,0.8809047,
хищение денег из кассы,хищение денег сотрудником,0.8809033,
ковалевка,подсвечник/антиквариат,0.880901,
ценники на товары,ситуация с ценами,0.8808867,
вывоз мусора в городе,вывоз мусора на грэс,0.8808769,
полет беспилотников,источник беспилотников,0.88087106,
беспилотники,дрон сбитый,0.8808596,
состояние дорог во вoenном городке,состояние дорог в сипайлово,0.88085777,
ситуация на украине,действия украины (нападение),0.88085437,
повышение цен на билеты в кинотеатрах,цены на билеты в кино,0.88085073,
укладка асфальта,качество укладки асфальта,0.88083124,
дрон сбитый,методы противодействия дронам,0.8808306,
угроза беспилотной опасности,теракты и беспилотники,0.8808253,
список школ с ремонтом,капитальный ремонт школы,0.88082224,
современные реалии,реальность событий,0.8808222,
отсутствие электричества,отсутствие электричества на улице тургенева,0.88080716,
беспилотная опасность,беспилотники и пво,0.8807758,
повышение цен/эксплуатация,повышение цен на продукты,0.88076997,
частота уборки мусора,уборка мусора в районе,0.88076556,
вывоз мусора в гэсе,уборка мусора,0.8807538,
фильмы юности,премьеры в кино,0.88071513,
ветер и погодные условия,погодные условия,0.8807113,
рождественские богослужения в каменске,канун рождества христова,0.88070184,
участие в концерте киркорова,премьеры в кино,0.88066775,
фильм хроники нарнии,анекдот времён ссср,0.88062894,
ктркороае,кальян,0.8806031,
состояние дороги на ул. заводской,перевод говнотечки,0.880598,
автомобильный инцидент,результат аварии,0.88058573,
действия силовиков в ресторане,проверка силовиков в ресторане,0.88057643,
кинопремьеры 2026 года,джефф миллз,0.88056713,
