object_1,object_2,similarity,connection
водитель автомобиля,водитель машины,0.99775773,duplicate
использование реагентов в ледовом городке,использование реагентов на ледовом городке,0.99768823,duplicate
цена на автомобиль,цена автомобиля,0.9972898,duplicate
расходы на свадьбу,затраты на свадьбу,0.99705267,duplicate
проблема с вывозом мусора,проблема вывоза мусора,0.9970436,duplicate
объявление беспилотной и ракетной опасности,объявление о беспилотной и ракетной опасности,0.9967605,duplicate
Сотрудничество России и Китая,Сотрудничество Китай-Россия,0.9965441,duplicate
затраты на украшения города,расходы на украшение города,0.99623835,duplicate
налог на авто по габаритам,налог на авто за габариты,0.99510694,duplicate
атака беспилотников на Россию,атаки беспилотниками по России,0.9946685,duplicate
миграционная политика,политика по миграции,0.9934746,duplicate
состояние дорог после таяния снега,состояние дорог после снегопада,0.9929149,not_duplicate
цены на услуги,цена услуг,0.9926135,duplicate
поведение участников обсуждения,поведение участников дискуссии,0.9925269,duplicate
отключение электроэнергии,отключение электричества,0.99212646,duplicate
инцидент с детьми на льду,происшествие с детьми на льду,0.9914857,duplicate
козье молоко как альтернатива детским смесям,использование козьего молока как альтернатива детским смесям,0.9913962,duplicate
Дата Рождества,Дата празднования Рождества,0.99075234,duplicate
качество установки шумозащитных конструкций,качество шумозащитных конструкций,0.98982453,not_duplicate
ЖК Вест-Сайд,строительство ЖК Вест-Сайд,0.98946655,similar_not_duplicate
стоимость билетов,цены на билеты,0.988835,duplicate
насилие над женщинами,насилие против женщин,0.98879564,duplicate
строительство ЖК Вест-Сайд,электроснабжение ЖК Вест-Сайд,0.98875034,not_duplicate
насилие над девушками,насилие против девушки,0.9881898,duplicate
отключение электричества в ЖК Вест-Сайд,электричество в ЖК Вест-Сайд,0.9880628,similar_not_duplicate
повышение цен на проезд,повышение стоимости проезда,0.9880317,duplicate
повышение цен на продукты,рост цен на продукты,0.9879821,duplicate
обязательная медиация перед разводом,обязательная медиация при разводе,0.9877478,duplicate
уборка снега в Екатеринбурге,чистка снега в Екатеринбурге,0.98736,duplicate
действия пожарных по тушению,Действия пожарных при тушении пожара,0.987172,duplicate
повышение цен,рост цен,0.98704505,duplicate
состояние дорог в Челябинской области,состояние дорог в Челябинске,0.9868295,not_duplicate
стоимость свадьбы,затраты на свадьбу,0.9866977,duplicate
проект строительства метро в Краснодаре,строительство метро в Краснодаре,0.9866512,duplicate
экономическая ситуация,экономическая обстановка,0.986601,duplicate
политика США,политика США (Трамп),0.9864901,duplicate
действия пожарных при ликвидации пожара,Действия пожарных при тушении пожара,0.986467,duplicate
смертельный исход ДТП,смертельное ДТП,0.9864147,duplicate
концерт Филиппа Киркорова,концерт Киркорова,0.9863902,duplicate
чистка карманов на дорогах,чистка карманов дорог,0.9861411,duplicate
Удары украинскими беспилотниками,атака украинских беспилотников,0.9861095,duplicate
дорожная безопасность,безопасность на дорогах,0.98583454,duplicate
работа в медицине,работа в медицинской сфере,0.9858006,duplicate
цены на билеты в кино,цены на билеты в кинотеатрах,0.9857285,duplicate
обилие и доступность алкоголя,доступность алкоголя,0.9853375,duplicate
проблема с вывозом мусора,Ситуация с вывозом мусора,0.98496747,duplicate
выбор даты свадьбы,выбор дат для свадеб,0.98475415,not_duplicate
проблема вывоза мусора,Ситуация с вывозом мусора,0.9847238,duplicate
запрет тонировки,запрет на тонировку,0.98448324,duplicate
авария с газом,инцидент с газом,0.9844443,duplicate
безопасность в ДТП,меры безопасности в ДТП,0.9843242,not_duplicate
процесс проверки учителей-мужчин,проверка учителей-мужчин,0.98390085,duplicate
новые штрафы за тонировку,введение новых штрафов за тонировку,0.9835959,duplicate
проект строительства метро в Краснодаре,реализация проекта метро в Краснодаре,0.9835466,duplicate
демографические показатели Башкирии,демографическая ситуация в Башкирии,0.983459,not_duplicate
поведение водителя во время ДТП,поведение водителей в ДТП,0.9834256,duplicate
высокая стоимость свадьбы,высокие затраты на свадьбу,0.98325336,duplicate
авария на трассе М4,ДТП на трассе М4,0.98308706,duplicate
ЖК Вест-Сайд,электроснабжение ЖК Вест-Сайд,0.98289716,not_duplicate
новые правила по тонировке,новые правила тонировки,0.9828561,duplicate
действия пожарных по тушению,действия пожарных при ликвидации пожара,0.98276794,duplicate
повышение цен на билеты в кинотеатрах,рост цен на билеты в кино,0.9827204,duplicate
деятельность зацеперов по сбору мусора,зацеперы сбор мусора,0.98268294,duplicate
происшествие с пенсионеркой,инцидент с пенсионеркой,0.9822909,duplicate
канал MAX,канал в Max,0.98207074,duplicate
наличие туалетов в электричках,туалеты в электричках,0.98206335,duplicate
обязательная медиация при разводе,обязательная процедура медиации при разводе,0.9814788,duplicate
ракетная опасность,ракетная опасность и вероятность угрозы,0.9814193,duplicate
работа коммунальщиков в экстремальных условиях,труд коммунальщиков в экстремальных условиях,0.98118424,duplicate
Рождество Христово (праздник),Рождество Христово,0.98103297,duplicate
жизненный уровень,уровень жизни,0.98100895,duplicate
поведение нападавшего,поведение напавшего,0.9809178,duplicate
поведение животного в контактном зоопарке,поведение хаски в контактном зоопарке,0.98082745,duplicate
поведение водителей,поведение водителей за рулем,0.98056597,similar_not_duplicate
процесс возврата товара с браком,возврат товара с браком,0.98039806,duplicate
авиаперевозки задержка рейса,задержка авиаперелета,0.9802541,duplicate
Беспилотная опасность,угроза беспилотной опасности,0.9801729,duplicate
ДТП на трассе,авария на трассе,0.9798864,duplicate
качество строительства конструкций,качество строительства,0.97982097,duplicate
демографическая яма и рынок труда,демографическая проблема и рынок труда,0.9794914,duplicate
